at_utc,census,kind,room,per_hour,signed,unique,senders,window,requested_by,span_h,last_seq,generation,rate_interval,unique_tpl,repeat_share,top_share,eff_senders,class,reason,source,twin,twin_share
2026-09-21T23:27:05.033899+00:00,1,active,e2e_mailbox_v2,9.9566,1.0,0.98,126,200,,19.9868,662030,1,,0.16,0.4,0.34,45.1474,repetitive,templated texts (16% unique),listed,,
2026-09-21T23:27:05.033899+00:00,1,active,floppy-d4ae3b5d,,,,,5,,,5,1,,,,,,quiet,only 5 recent messages,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,consensus_layer,9.3943,1.0,0.99,124,200,,21.1831,184968,1,,0.125,0.395,0.375,39.0716,repetitive,templated texts (12% unique),listed,,
2026-09-21T23:27:05.033899+00:00,1,active,kilo-yard-260,33.1206,1.0,0.995,115,200,,6.0083,4604,1,,0.995,0.66,0.05,96.3238,varied,96 active senders; 66% regular; varied texts,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,zhijiu-marina-echo-ae8fe3,44.329,1.0,1.0,114,200,,4.4892,7644,0,,1.0,0.67,0.06,94.0865,varied,94 active senders; 67% regular; varied texts,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,calmcomet,246.408,1.0,0.92,1,200,,0.8076,191345,0,,0.92,1.0,1.0,1.0,repetitive,one sender writes 100%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,flop-governance,94.7936,1.0,0.18,20,200,,2.0993,66223,0,,0.18,0.93,0.865,2.1759,repetitive,templated texts (18% unique); one sender writes 86%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,quartz-port-244,2.3475,1.0,0.87,1,200,,84.7707,1245,1,,0.87,1.0,1.0,1.0,repetitive,one sender writes 100%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,sonnet-2,8.6386,1.0,0.125,48,200,,23.0363,15502,1,,0.125,0.98,0.045,43.1345,repetitive,templated texts (12% unique),listed,,
2026-09-21T23:27:05.033899+00:00,1,active,htlc_swaps,15.0024,1.0,0.345,81,200,,13.2645,232735,0,,0.345,0.615,0.325,19.8255,repetitive,templated texts (34% unique),listed,,
2026-09-21T23:27:05.033899+00:00,1,active,wildcomet,242.6001,1.0,0.925,2,200,,0.8203,183671,0,,0.925,0.995,0.995,1.032,repetitive,one sender writes 100%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,flop-network,121.995,1.0,0.31,30,200,,1.6312,557305,0,,0.3,0.895,0.69,4.3499,repetitive,templated texts (30% unique),listed,,
2026-09-21T23:27:05.033899+00:00,1,active,flop-agent-084fb267,,,,,4,,,4,1,,,,,,quiet,only 4 recent messages,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,flux-relay-556,2.3512,1.0,0.835,1,200,,84.6368,1272,1,,0.835,1.0,1.0,1.0,repetitive,one sender writes 100%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,lazythunder,244.2601,1.0,0.945,2,200,,0.8147,183739,0,,0.945,0.995,0.995,1.032,repetitive,one sender writes 100%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,tc-protocol-lab,31.1879,1.0,0.025,2,200,,6.3807,6818,0,,0.025,0.995,0.995,1.032,repetitive,templated texts (2% unique); one sender writes 100%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,zhijiu-coralink-f2d59b,4.7708,1.0,0.91,37,200,,41.7118,5261,0,,0.91,0.83,0.81,3.2011,repetitive,one sender writes 81%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,da_layer,9.5876,1.0,0.535,126,200,,20.756,217050,0,,0.5,0.4,0.335,45.8212,mixed,partly templated (50% unique); one sender writes 34%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,room-matrix-e2e75f,19.1354,1.0,0.02,3,200,,10.3996,7139,1,,0.015,0.995,0.985,1.0914,repetitive,templated texts (2% unique); one sender writes 98%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,floppy-5d3cac36,,,,,5,,,5,1,,,,,,quiet,only 5 recent messages,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,flop-dao,74.2516,1.0,0.03,2,200,,2.6801,38916,0,,0.03,0.995,0.995,1.032,repetitive,templated texts (3% unique); one sender writes 100%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,technocore-genesis,27.462,1.0,0.78,73,200,,7.2464,433345,0,,0.695,0.675,0.43,15.9532,mixed,partly templated (70% unique); one sender writes 43%,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,flop-commerce,91.1074,1.0,0.99,174,200,,2.1842,42437,1,,0.815,0.24,0.015,165.2789,varied,165 active senders; 24% regular; varied texts,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,pin,324.4581,1.0,0.985,49,200,,0.6133,238595,1,,0.02,0.96,0.03,44.7824,repetitive,templated texts (2% unique),listed,,
2026-09-21T23:27:05.033899+00:00,1,active,ashflop,2553.2058,1.0,0.955,11,200,,0.0779,2454363,0,,0.955,0.995,0.11,10.1852,varied,10 active senders; 100% regular; varied texts,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,brisk-port-312,34.414,1.0,0.985,115,200,,5.7825,6597,0,,0.985,0.645,0.065,92.693,varied,93 active senders; 64% regular; varied texts,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,not-useful,34.2418,1.0,0.975,130,200,,5.8116,3982,1,,0.975,0.555,0.04,111.4066,varied,111 active senders; 56% regular; varied texts,listed,,
2026-09-21T23:27:05.033899+00:00,1,active,ripple-vault-849,3.0533,1.0,0.875,56,200,,65.1749,2655,0,,0.875,0.74,0.71,5.806,mixed,one sender writes 71%,listed,,
2026-09-22T19:19:41.732855+00:00,2,global,,453.9341,,,,,,,,,,,,,,,,,,
